LOT,FOLDER_NAME,OFFICIAL_NAME,COOLNESS_RATING,DESCRIPTION,SPECIFICATIONS,PRICE,PRICE ESTIMATE HYPERLINKS,CATEGORY
LOT_001,LOT_001_Microsoft_Surface_Go_3_10_5_Touchscreen_Intel_Core_i3_8GB_Memory_128GB_SSD,Microsoft Surface Go 3 - 10.5_ Touchscreen - Intel® Core™ i3 - 8GB Memory - 128GB SSD,4 Stars,"The Microsoft Surface Go 3 is a versatile 2-in-1 device that combines the portability of a tablet with the productivity of a laptop. Featuring a 10.5-inch touchscreen, Intel Core i3 processor, and full Windows 11 experience, it's perfect for students, professionals, and anyone needing computing power on the go.","Display | 10.5-inch PixelSense touchscreen (1920 x 1280) | Processor | Intel Core i3-10100Y (dual-core, up to 3.9GHz) | Memory | 8GB LPDDR3 RAM | Storage | 128GB SSD | Graphics | Intel UHD Graphics 615 | Camera | 8MP rear, 5MP front with Windows Hello face sign-in | Ports | USB-C, 3.5mm headphone jack, Surface Connect, microSDXC | Battery Life | Up to 11 hours | Weight | 1.2 lbs (tablet only) | OS | Windows 11 Home | Accessories | Compatible with Surface Pen and Type Cover (sold separately)",$399-$549,https://www.microsoft.com/en-us/surface/devices/surface-go-3,Gadgets > Portable Display
LOT_002,LOT_002_Microsoft_Surface_Studio_2_All_in_One_Desktop,Microsoft Surface Studio 2 All-in-One Desktop,7 stars,"The Microsoft Surface Studio 2 is a premium all-in-one desktop computer featuring a stunning 28-inch PixelSense touchscreen that transforms into a digital canvas. Designed for creative professionals, it combines powerful performance with innovative design, including the unique Zero Gravity Hinge and Surface Dial compatibility.","Display | 28-inch PixelSense touchscreen (4500 x 3000, 192 PPI) | Processor | 7th Gen Intel Core i7-7820HQ | Graphics | NVIDIA GeForce GTX 1070 (8GB GDDR5) | Memory | 16GB or 32GB RAM | Storage | 1TB or 2TB SSD | Hinge | Zero Gravity Hinge (20° to near-flat positioning) | Inputs | Surface Pen and touch support, Surface Dial compatibility | Ports | 4x USB 3.0, USB-C, SD card reader, 3.5mm audio | Connectivity | Wi-Fi 802.11ac, Bluetooth 4.0, Gigabit Ethernet | Dimensions | 25.1"" x 17.3"" x 12.5""","$3,499-$4,299",https://www.microsoft.com/en-us/d/surface-studio-2/8vlfqc3597k4,Gadgets > Portable Display
LOT_003,LOT_003_Minisforum_EliteMini_UM773_SE_Mini_PC_Ryzen_7_7735HS,Minisforum EliteMini UM773 SE Mini PC (Ryzen 7 7735HS),3 Stars,"The Minisforum EliteMini UM773 SE is a powerful compact desktop computer featuring AMD Ryzen 7 7735HS processor with integrated Radeon 680M graphics. This mini PC delivers exceptional performance for gaming, content creation, and professional work in an ultra-compact form factor with extensive connectivity options.","Processor | AMD Ryzen 7 7735HS (8-core, 16-thread, up to 4.75GHz) | Memory | 16GB DDR5-4800 (expandable to 64GB) | Storage | 512GB PCIe 4.0 NVMe SSD | Graphics | AMD Radeon 680M integrated | Ports | 2x HDMI 2.1, 1x DisplayPort 1.4, 4x USB 3.2, 2x USB 2.0, USB-C | Networking | Wi-Fi 6E, Bluetooth 5.3, 2.5G Ethernet | Audio | 3.5mm combo jack | Power | 120W power adapter | Dimensions | 5.0"" x 5.0"" x 2.0"" | OS | Windows 11 Pro",$349-$709,https://store.minisforum.com/products/minisforum-um773-lite,PC
LOT_004,LOT_004_Moment_M_Series_Professional_Mobile_Lens_Kit,Moment M-Series Professional Mobile Lens Kit,3 Stars,"The Moment M-Series Professional Mobile Lens Kit is a comprehensive smartphone photography system featuring premium glass lenses and accessories. This complete kit transforms iPhone photography with telephoto, macro, wide-angle, and anamorphic capabilities, plus professional filters and protective cases for serious mobile photographers.","Lenses Included | 58mm Telephoto, 10x Macro, 18mm Wide, 1.33x Anamorphic | Adapter | 67mm mobile lens mounting system | Filters | 67mm filter bundle (ND, CPL, various densities) | Case | iPhone 13 compatible mounting case | Glass Quality | Cinema-grade glass elements | Construction | Aerospace-grade metal housing | Compatibility | iPhone 13 series (with case system) | Mounting | Bayonet lens mount system | Accessories | Lens caps, cleaning cloth, carrying case | Professional Features | Manual focus, enhanced image quality",$399-$499,https://www.shopmoment.com/products/m-series-lens-kit,Cell Phones
LOT_005,LOT_005_Motyeowe_OLED_Monitors_18_5in_X2,Motyeowe OLED Monitors 18.5in - X2,4 Stars,"The Motyeowe portable OLED monitors deliver stunning visual quality with true blacks and vibrant colors in an ultra-portable 18.5-inch design. This 2-pack offers dual-screen productivity solutions with USB-C connectivity, making them perfect for mobile professionals, gamers, and content creators who need additional screen real estate.","Display | 18.5-inch OLED panel (2-pack) | Resolution | 1920 x 1080 Full HD per monitor | Color Accuracy | 100% sRGB, 99% Adobe RGB | Contrast Ratio | 100,000 | 1 (true OLED blacks) | Response Time | 1ms | Refresh Rate | 60Hz | Connectivity | USB-C (single cable for power and data) | Compatibility | Windows, macOS, Android, gaming consoles | Design | Ultra-slim profile, lightweight | Stand | Adjustable kickstand included | Weight | 1.8 lbs per monitor | Package | 2 monitors included",$299-$399,https://www.amazon.com/Portable-Monitor-Laptop-Computer-Devices/dp/B0C9Q37CB5,Gadgets > Portable Display
LOT_006,LOT_006_MS_Surface_Pro_7_16gb_ram_black_i7,MS Surface Pro 7 - 16gb ram - black i7,4 Stars,"The Microsoft Surface Pro 7 in Matte Black is a premium 2-in-1 device featuring Intel Core i7 processor and 16GB RAM for exceptional performance. This versatile laptop-tablet hybrid offers professional-grade capabilities with the iconic Surface design, perfect for demanding work, creative tasks, and productivity on the go.","Display | 12.3-inch PixelSense touchscreen (2736 x 1824, 267 PPI) | Processor | Intel Core i7-1065G7 (quad-core, up to 3.9GHz) | Memory | 16GB LPDDR4x RAM | Storage | 256GB, 512GB, or 1TB SSD options | Graphics | Intel Iris Plus Graphics | Camera | 8MP rear, 5MP front with Windows Hello face sign-in | Ports | USB-C, USB-A, 3.5mm headphone jack, Surface Connect, microSDXC | Battery Life | Up to 10.5 hours | Weight | 1.7 lbs (tablet only) | Color | Matte Black | OS | Windows 11 Pro","$899-$1,499",https://www.microsoft.com/en-us/d/surface-pro-7/8n17j0m5zzqs,Gadgets > Portable Display
LOT_007,LOT_007_Anker_Nebula_Capsule_Portable_Projector,Anker Nebula Capsule Portable Projector,4 Stars,"Movie night just became location-independent. This soda-can-sized projector throws a 100-inch screen anywhere you point it, because apparently we've reached the point where briefcase-sized entertainment systems are old school. Built-in Android means it's basically a smart TV that fits in your backpack. Perfect for impressing dates, outdoor movie nights, and making hotel rooms less depressing.","Projection: 100"" screen, 854x480 resolution ; Brightness: 100 ANSI lumens ; Battery: 2.5 hours video playback ; Connectivity: WiFi, Bluetooth, HDMI ; Size: 150ml soda can dimensions",$399-$549,https://www.amazon.com/NEBULA-Capsule-Projector-Officially-Licensed/dp/B0CHW11C8H,Gadgets > Projector
LOT_008,LOT_008_NEBULA_Cosmos_Laser_1080P_Projector,NEBULA Cosmos Laser 1080P Projector,5 Stars,"The Anker Nebula Cosmos Laser is a premium 4K laser projector featuring advanced laser technology for exceptional brightness and color accuracy. With Android TV built-in, auto-focus, and keystone correction, it delivers cinema-quality entertainment with easy setup and smart streaming capabilities for the ultimate home theater experience.","Resolution | 4K UHD (3840 x 2160) | Brightness | 2400 ANSI lumens (laser light source) | Projection Size | 50-150 inches | Laser Lifespan | 25,000+ hours | OS | Android TV 9.0 with Google Play Store | Auto Features | Auto-focus, auto keystone correction | Connectivity | HDMI x2, USB 3.0, Ethernet, Wi-Fi 6, Bluetooth 5.0 | Audio | Dolby Audio, 20W speakers | HDR Support | HDR10 | Dimensions | 12.6"" x 9.1"" x 5.5"" | Weight | 9.26 lbs","$1,299-$1,999",https://www.amazon.com/Projector-NEBULA-Autofocus-Correction-Bluetooth/dp/B09XMBR1NN,Gadgets > Projector
LOT_009,LOT_009_NuPhy_75_Keyboard,NuPhy 75 Keyboard,4 Stars,"The NuPhy Air75 V2 is a premium 75% wireless mechanical keyboard featuring ultra-low profile switches and premium build quality. With triple connectivity modes, hot-swappable switches, and Mac/Windows compatibility, it delivers exceptional typing experience in a compact, portable design perfect for professionals and enthusiasts.","Layout | 75% compact layout (82 keys) | Switches | NuPhy low-profile mechanical switches (multiple options) | Connectivity | 2.4GHz wireless, Bluetooth 5.0, USB-C wired | Compatibility | macOS and Windows with dedicated keycaps | Battery | 4000mAh rechargeable (up to 48 hours use) | Construction | CNC aluminum case | Hot-swappable | Yes, for low-profile switches | Backlighting | South-facing RGB | Dimensions | 323 x 140 x 22mm | Weight | 780g | Keycaps | PBT double-shot",$119-$134,https://nuphy.com/products/air75-v2,PC
LOT_010,LOT_010_OneWheel_V1_Self_Balancing_Electric_Skateboard,OneWheel V1 Self-Balancing Electric Skateboard,6 stars,"The original Onewheel is a revolutionary self-balancing electric skateboard that delivers a unique riding experience combining elements of snowboarding, skateboarding, and surfing. With its distinctive single wheel design and intuitive balance-based controls, it offers an exciting and eco-friendly way to commute and explore.","Motor | Custom brushless hub motor | Top Speed | 12 mph (19 km/h) | Range | 4-6 miles per charge | Battery | Lithium Iron Phosphate (LiFePO4) | Charge Time | 20 minutes for 50% charge | Weight | 25 lbs (11.3 kg) | Max Rider Weight | 250 lbs (113 kg) | Tire | 11.5 x 6.5-6 Vega tire | Dimensions | 27"" x 10.5"" x 10.5"" | App Connectivity | Onewheel mobile app via Bluetooth | Features | LED headlight, power button, charge port",$500-$800,https://onewheel.com,Peripherals
